latitude,longitude,radius_m,label
31.7619,-106.4850,60000,El Paso
33.5779,-101.8552,60000,Lubbock
35.2210,-101.8313,60000,Amarillo
32.4487,-99.7331,60000,Abilene
31.9973,-102.0779,60000,Midland
29.4241,-98.4936,60000,San Antonio
30.2672,-97.7431,60000,Austin
32.7767,-96.7970,60000,Dallas
32.7555,-97.3308,60000,Fort Worth
29.7604,-95.3698,60000,Houston
27.8006,-97.3964,60000,Corpus Christi
25.9017,-97.4975,60000,Brownsville
26.2034,-98.2300,60000,McAllen
31.5493,-97.1467,60000,Waco
29.3013,-94.7977,60000,Galveston
